PourcentageNdansM,nbErrorK1,nbErrorK2,nbErrorK3,nbErrorK4,nbErrorK5
1,100,100,100,100,100
2,200,200,200,200,200
3,300,201,201,201,201
4,400,300,300,200,200
5,499,400,200,200,200
6,601,402,302,302,302
7,703,501,302,202,202
8,802,601,399,299,299
9,901,600,399,300,199
10,1000,700,399,399,399
11,1098,798,498,398,299
12,1198,800,502,402,300
13,1299,899,602,403,301
14,1399,999,600,499,300
15,1499,999,700,400,301
16,1600,1100,701,401,401
17,1700,1201,700,500,301
18,1800,1200,801,502,400
19,1899,1301,701,601,502
20,2000,1402,801,499,400
21,2101,1402,802,600,501
22,2202,1503,901,499,499
23,2304,1603,1000,599,402
24,2403,1602,999,601,399
25,2502,1702,1098,701,800
26,2602,1800,999,700,501
27,2701,1801,1099,800,499
28,2802,1902,1103,803,601
29,2904,2002,1203,802,703
30,3004,2002,1198,802,502
31,3104,2102,1198,801,801
32,3202,2198,1296,898,600
33,3301,2202,1299,902,599
34,3401,2297,1402,1001,701
35,3501,2401,1402,901,601
36,3601,2398,1499,1001,701
37,3700,2501,1499,1098,1003
38,3801,2599,1498,1001,603
39,3900,2600,1600,1302,801
40,4000,2699,1502,1103,1002
41,4100,2800,1604,1101,1002
42,4200,2799,1599,1100,899
43,4300,2900,1700,1199,1105
44,4400,2999,1800,1097,800
45,4499,2999,1799,1602,1603
46,4600,3100,1905,1202,1102
47,4702,3202,1806,1202,1104
48,4801,3198,1900,1198,699
49,4899,3300,1899,1494,1796
50,5000,3399,2001,1301,903
51,5100,3400,1998,1701,1200
52,5197,3497,2002,1401,1200
53,5298,3601,2108,1403,2107
54,5398,3597,2101,1399,800
55,5499,3702,2201,1800,1500
56,5600,3798,2201,1597,1102
57,5699,3800,2298,2099,2600
58,5800,3899,2301,2204,1203
59,5899,4000,2307,1704,1400
60,6000,4000,2400,1797,1101
61,6101,4100,2301,1992,3193
62,6199,4200,2399,1796,1298
63,6300,4201,2499,2300,1905
64,6401,4302,2803,2202,1405
65,6499,4399,2602,1902,2891
66,6598,4401,3096,2097,1297
67,6698,4499,3301,2502,2601
68,6798,4602,2600,2001,1301
69,6900,4601,3503,2705,2705
70,7000,4702,3703,2704,2003
71,7101,4801,2803,2207,2202
72,7199,4801,3991,2593,1895
73,7300,4902,4099,3397,4292
74,7401,5001,2899,2096,1596
75,7500,5001,4105,3306,3101
76,7601,5101,4696,3501,2504
77,7699,5200,3001,2701,4100
78,7801,5203,4389,2896,1896
79,7899,5298,4893,3599,4108
80,8000,5402,3100,2404,1896
81,8099,5398,4505,3504,5496
82,8200,5502,5093,3807,2902
83,8300,5599,3202,3101,3402
84,8400,5602,4589,3496,2292
85,8500,5700,5393,4295,6403
86,8599,5803,3400,2697,1700
87,8700,5801,4804,3806,4305
88,8800,5903,5794,4305,3197
89,8899,6000,3400,3305,6194
90,8999,6003,4990,3694,2898
91,9099,6100,5890,4399,4803
92,9198,6202,3598,3005,2298
93,9299,6201,5105,4005,7107
94,9401,6304,6195,4410,3209
95,9504,6401,3702,3604,4508
96,9604,6404,5292,4097,2992
97,9704,6501,6495,4998,9000
98,9804,6604,3799,2997,2499
99,9905,6603,5506,4306,5502
100,10005,6704,6997,4704,3707
