PourcentageNdansM,nbErrorK1,nbErrorK2,nbErrorK3,nbErrorK4,nbErrorK5
1,1,0,0,0,0
2,2,1,0,0,0
3,2,2,1,1,0
4,4,2,1,1,0
5,4,3,1,1,0
6,5,4,2,2,1
7,6,4,2,2,1
8,8,5,2,2,1
9,8,5,3,3,1
10,10,6,3,3,2
11,11,7,4,4,2
12,12,9,4,4,2
13,13,10,4,4,3
14,13,11,5,5,3
15,15,12,6,5,4
16,16,13,6,6,4
17,16,13,7,7,4
18,17,14,8,7,5
19,18,15,8,8,6
20,19,16,9,9,7
21,20,17,10,9,7
22,22,18,11,10,8
23,23,20,12,11,9
24,24,22,13,12,10
25,25,25,15,13,11
26,26,26,15,13,11
27,27,27,16,14,12
28,28,28,17,15,13
29,29,29,18,16,14
30,30,30,19,16,15
31,31,31,20,17,16
32,32,32,21,18,17
33,33,33,22,18,17
34,34,34,23,19,18
35,35,35,23,20,18
36,36,36,24,20,19
37,37,37,25,21,19
38,38,38,26,22,20
39,39,39,27,22,21
40,40,40,28,23,21
41,41,41,29,24,22
42,42,42,30,24,22
43,43,43,31,25,23
44,44,44,32,26,23
45,44,45,33,27,24
46,45,46,34,28,25
47,46,47,35,29,26
48,48,48,36,31,26
49,49,49,37,32,27
50,50,50,38,33,28
51,51,51,39,35,30
52,52,52,40,36,31
53,53,53,40,37,31
54,54,54,41,37,32
55,55,55,42,38,34
56,56,56,43,39,34
57,57,58,45,41,36
58,58,58,46,41,36
59,59,59,47,42,37
60,59,60,48,43,38
61,61,61,49,44,39
62,62,62,50,45,40
63,62,63,52,46,41
64,63,64,53,47,42
65,65,65,54,48,43
66,65,66,55,49,44
67,66,67,56,50,45
68,68,68,57,50,45
69,69,70,59,51,46
70,69,70,60,52,47
71,70,71,61,53,48
72,71,72,62,54,49
73,72,73,63,55,50
74,74,74,65,57,52
75,74,75,66,59,54
76,75,76,67,60,55
77,76,77,68,62,57
78,77,78,70,63,58
79,78,79,71,65,60
80,80,80,72,66,61
81,81,81,74,68,63
82,81,83,75,69,65
83,82,83,76,71,66
84,83,84,77,72,67
85,85,85,78,74,69
86,85,86,80,75,70
87,86,87,81,76,72
88,87,88,83,78,74
89,88,89,84,79,76
90,89,90,85,81,78
91,90,91,87,83,80
92,91,92,88,85,82
93,93,93,90,86,84
94,94,94,91,88,86
95,95,95,92,90,88
96,96,96,94,92,90
97,97,97,95,94,93
98,98,98,97,96,95
99,99,99,98,98,97
100,100,100,100,100,100
